month,total_comments,keyword_mentions,mention_rate
2021-01,3470,17,0.004899135446685879
2021-02,1724,8,0.004640371229698376
2021-03,2626,7,0.0026656511805026656
2021-04,2510,16,0.006374501992031873
2021-05,3323,14,0.004213060487511285
2021-06,1853,17,0.009174311926605505
2021-07,3186,15,0.004708097928436911
2021-08,2621,12,0.004578405188859214
2021-09,1784,7,0.003923766816143498
2021-10,3288,14,0.004257907542579075
2021-11,1858,7,0.003767491926803014
2021-12,2577,9,0.0034924330616996507
2022-01,3377,14,0.00414569144210838
2022-02,1773,14,0.007896221094190638
2022-03,2601,5,0.0019223375624759708
2022-04,2659,15,0.005641218503196691
2022-05,3311,9,0.002718212020537602
2022-06,1878,43,0.022896698615548456
2022-07,3441,26,0.007555943039814008
2022-08,2690,9,0.003345724907063197
2022-09,1848,32,0.017316017316017316
2022-10,3370,9,0.0026706231454005935
2022-11,1817,26,0.014309301045679693
2022-12,2638,46,0.017437452615617893
2023-01,3599,167,0.04640177827174215
2023-02,1739,82,0.047153536515238646
2023-03,2653,176,0.06633999246136449
2023-04,2629,211,0.08025865348041081
2023-05,3319,219,0.06598373003916842
2023-06,1629,70,0.042971147943523635
2023-07,3416,141,0.041276346604215454
2023-08,2809,104,0.037023851904592384
2023-09,1785,61,0.03417366946778711
2023-10,3634,137,0.03769950467804073
2023-11,1937,85,0.04388229220443986
2023-12,2823,85,0.030109812256464755
